,text,Label
0, Bhai aap ko dm karna he,1
1, Bismillah Hir Rahma Nir Rahim MashaAllah MashaAllah MashaAllah Aap Ki Team Bahot Behtareen R Khoobsurat Ho Gi,1
2,   Bhai aap jaise logo ko sirf kamiya hi dikhti hai jeevan परेशानी में ही काट रहे है   shyd,1
3,   AUS SE BARRA NAWAZ AKA BAKWAAS SHARIF FUNDING CHOR CHOR KO IZAT DO AAP BHI DO,1
4, Aap aaj aayiye thik hai,1
5,  sir vimal khana kab choroge aap,1
6,Kitne hurdles aae lekin apna kaam karte rahe And apne kaam se kaam rakha No hype no drama no loud claims Just working silently and determinedly Aap log thak kar beech mein stop bhi kar dete to kisi ko pata nahin chalta What drives You Shah May the movie get completed fast,1
7,Aap yadi kisi aesi cheez par kabja karke baithe ho IN GENERAL SENSE Lets say ki woh satta ki kursi hi hainnPar yadi woh cheez aapke jiwan ko narak bana rahi hainnFir bhi us kursi yaa thing se khud ko attach karke rakhna kaha tak samajhdaari hai,1
8, You are good leader,0
9, Àap bhi apni reporting mein iss principle ko laggu karo Jayda chattukarta acchi nahi hoti  App Adalat se sharu hokar BJP ki kachari mein jaa rehay ho bhai sahib,1
10, Aap ki din mangalmay ho,1
11, Tonti bhaiya didi ne Bengal me hinduo  murder karaye hai Aap andhe ho apko dikha nahi kya,1
12, cries in AAP,1
13,  Aap bhi indian ho cab bhej do,1
14, Aap ki baat me dam hai dear,1
15,Aap ki baar modi charkar httpstcoXnLY7gFuch,1
16,  Arre aap hamesha itne gusse me kyu baat krte hoGood morning ya night to you too depending on where u live,1
17,    is it so httpstcoNLnIVidJWI,0
18, Dit is gewoon een samenvatting nvan feiten en rapporten nGeeft u gewoon een reëel beeld wat er daadwerkelijk speelt ipv al die broodje aap verhalen waar u mee word doodgegooid,1
19,   Aap bewakuf ho agar aapko ye lagta hai tonpadh likh ke aya karonPata kar le kaun sa AIIMS kab khulanNehru ke time ek khula tha wo bhi Raja Maharaja logo ne khola thanbaki sab BJP ne khole hai,1
20,  Meri wajah se aap logon ko bohot trouble hota na  Sorry,1
21, Bilkul sahi Pharmaya aap ne,1
22,Main to corrt pol se yehi kahunga ki aap apne past ka mulyankan kijiyennJo dhan janta se luut kar aap ne khud par kharch kiyaKya us se aapke jiwan me khushi aayi hainnYadi aaya hai to theek hai Aur nahi to kisi aur par nahi khud par taras kijiye,1
23, Sahi kha rahi hai aap,1
24,कांग्रेस  का कहना साफ हैं nइतना साफ की आब तक साढ़े तीन साल साफ  साफ झूठ बोलकर सरकार चला दिए आगे डेढ़ साल भी चल जाएगा पर वादा 10 दिन मे नियमित करेंगे  अनियमितकर्मचारी को बोलते रहेंगेnइसलिए अब प्रदेश के ढाई करोड़ लोगों का बेहतर विकल्प 2023 मे   httpstcoQcHouBVxU6 httpstcoK9SQcrTXBs,0
25, Salute,0
26, Aree Iska data  Biodata sab kharab hai Aap mehanat lete rhiye ,1
27,  RJD apna time yaad kijie jab lalu ji cm the bohot accha kaam kiya tha unhone na Kesi ne sach hi kha hai jab kise chez ka jawab chahiye to sabse pehle apne aap ke puche  Yaad aaya lathi chalaoo tel pilao raili ,1
